individualID,taxonID,scientificName
NEON.BET.D01.001012,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000851,PLADEC,Platynus decentis
NEON.BET.D01.000492,NOTAEN,Notiophilus aeneus
NEON.BET.D01.000551,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001056,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001027,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000453,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000524,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000512,CARSER,Carabus serratus
NEON.BET.D01.001016,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000801,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000659,CARGOR,Carabus goryi
NEON.BET.D01.001210,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000554,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000643,CARGOR,Carabus goryi
NEON.BET.D01.000667,CARGOR,Carabus goryi
NEON.BET.D01.000645,CARGOR,Carabus goryi
NEON.BET.D01.000669,CARGOR,Carabus goryi
NEON.BET.D01.000474,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000508,CARSER,Carabus serratus
NEON.BET.D01.001036,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000993,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000519,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000988,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000647,CARGOR,Carabus goryi
NEON.BET.D01.000491,NOTAEN,Notiophilus aeneus
NEON.BET.D01.000649,CARGOR,Carabus goryi
NEON.BET.D01.000527,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000543,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001011,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000553,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000966,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001054,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000656,CARGOR,Carabus goryi
NEON.BET.D01.000654,CARGOR,Carabus goryi
NEON.BET.D01.000547,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000517,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001037,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001059,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001057,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001026,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000509,CARSER,Carabus serratus
NEON.BET.D01.001028,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001021,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001032,PTEMUT2,Pterostichus mutus
NEON.BET.D01.001368,AMPINT,Amphasia interstitialis
NEON.BET.D01.000497,NOTAEN,Notiophilus aeneus
NEON.BET.D01.001283,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000468,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000496,NOTAEN,Notiophilus aeneus
NEON.BET.D01.001333,CYMPLA2,Cymindis platicollis
NEON.BET.D01.000811,PTEMUT2,Pterostichus mutus
NEON.BET.D01.000510,CARSER,Carabus serratus
NEON.BET.D01.000684,CARGOR,Carabus goryi
NEON.BET.D01.001385,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000912,PLADEC,Platynus decentis
NEON.BET.D01.001061,PTEMUT2,Pterostichus mutus
NEON.BET.D01.000499,NOTAEN,Notiophilus aeneus
NEON.BET.D01.001078,GASHON,Gastrellarius honestus
NEON.BET.D01.001230,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.001356,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000861,PLADEC,Platynus decentis
NEON.BET.D01.000892,PTEMUT2,Pterostichus mutus
NEON.BET.D01.000866,PTEMUT2,Pterostichus mutus
NEON.BET.D01.001389,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000503,CARSER,Carabus serratus
NEON.BET.D01.000571,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000937,PTEROS,Pterostichus rostratus
NEON.BET.D01.000709,CARGOR,Carabus goryi
NEON.BET.D01.000826,PTEMUT2,Pterostichus mutus
NEON.BET.D01.001189,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000507,CARSER,Carabus serratus
NEON.BET.D01.000587,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000443,APELUC2,Apenes lucidula
NEON.BET.D01.000530,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000639,CARGOR,Carabus goryi
NEON.BET.D01.000998,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000940,PTEROS,Pterostichus rostratus
NEON.BET.D01.000591,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000638,CARGOR,Carabus goryi
NEON.BET.D01.001205,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.001024,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000603,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001264,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000465,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000495,NOTAEN,Notiophilus aeneus
NEON.BET.D01.000560,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001204,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.001322,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000516,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000642,CARGOR,Carabus goryi
NEON.BET.D01.000511,CARSER,Carabus serratus
NEON.BET.D01.000927,PTEROS,Pterostichus rostratus
NEON.BET.D01.000832,PTEROS,Pterostichus rostratus
NEON.BET.D01.000592,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001039,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000597,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000446,APELUC2,Apenes lucidula
NEON.BET.D01.000467,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.001409,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.001053,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000556,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000914,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000588,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000444,APELUC2,Apenes lucidula
NEON.BET.D01.000586,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001025,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000445,APELUC2,Apenes lucidula
NEON.BET.D01.001029,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000487,MYACYA,Myas cyanescens
NEON.BET.D01.001049,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000494,NOTAEN,Notiophilus aeneus
NEON.BET.D01.001479,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000522,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001017,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000479,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.001046,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000996,PTEMUT2,Pterostichus mutus
NEON.BET.D01.000962,PTEROS,Pterostichus rostratus
NEON.BET.D01.000534,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000532,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000788,PTEMUT2,Pterostichus mutus
NEON.BET.D01.001252,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000640,CARGOR,Carabus goryi
NEON.BET.D01.001067,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001062,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001484,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000475,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000692,CARGOR,Carabus goryi
NEON.BET.D01.001504,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001294,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.001576,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000558,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000641,CARGOR,Carabus goryi
NEON.BET.D01.000466,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.001568,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000462,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000525,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000921,PTEROS,Pterostichus rostratus
NEON.BET.D01.000786,DICPOL,Dicaelus politus
NEON.BET.D01.000815,PTEMUT2,Pterostichus mutus
NEON.BET.D01.000828,PTEROS,Pterostichus rostratus
NEON.BET.D01.001040,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000670,CARGOR,Carabus goryi
NEON.BET.D01.000606,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001246,CYMCRI,Cymindis cribricollis
NEON.BET.D01.000552,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000578,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000575,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000650,CARGOR,Carabus goryi
NEON.BET.D01.000608,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000577,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001015,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000486,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.001381,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.001509,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001597,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000573,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000712,CARGOR,Carabus goryi
NEON.BET.D01.001536,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000834,PTEROS,Pterostichus rostratus
NEON.BET.D01.000990,PTEMUT2,Pterostichus mutus
NEON.BET.D01.001459,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000565,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001318,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.001022,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001138,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000557,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001378,CYMLIM,Cymindis limbata
NEON.BET.D01.000989,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001228,CYMLIM,Cymindis limbata
NEON.BET.D01.001001,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001020,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000542,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000783,PTETRI3,Pterostichus tristis
NEON.BET.D01.000802,PTEROS,Pterostichus rostratus
NEON.BET.D01.001002,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000463,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000555,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000607,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000751,PTETRI3,Pterostichus tristis
NEON.BET.D01.001227,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000869,PTETRI3,Pterostichus tristis
NEON.BET.D01.000574,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000576,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000493,NOTAEN,Notiophilus aeneus
NEON.BET.D01.001425,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001428,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000825,PTETRI3,Pterostichus tristis
NEON.BET.D01.000616,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000449,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.001481,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000609,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000450,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.001446,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000615,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001320,CYMNEG,Cymindis neglecta
NEON.BET.D01.000613,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001470,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001498,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000614,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000854,PTETRI3,Pterostichus tristis
NEON.BET.D01.000772,PTEADO,Pterostichus adoxus
NEON.BET.D01.000838,PTEROS,Pterostichus rostratus
NEON.BET.D01.000859,PTETRI3,Pterostichus tristis
NEON.BET.D01.001488,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000925,PTETRI3,Pterostichus tristis
NEON.BET.D01.000817,PTEROS,Pterostichus rostratus
NEON.BET.D01.000749,PTETRI3,Pterostichus tristis
NEON.BET.D01.000841,PTETRI3,Pterostichus tristis
NEON.BET.D01.000589,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001487,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000451,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.001411,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000716,PTETRI3,Pterostichus tristis
NEON.BET.D01.000693,CARGOR,Carabus goryi
NEON.BET.D01.000760,PTETRI3,Pterostichus tristis
NEON.BET.D01.000531,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000515,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000967,PTETRI3,Pterostichus tristis
NEON.BET.D01.000706,CARGOR,Carabus goryi
NEON.BET.D01.001471,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001463,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000750,PTETRI3,Pterostichus tristis
NEON.BET.D01.000502,CARSER,Carabus serratus
NEON.BET.D01.000514,CARSER,Carabus serratus
NEON.BET.D01.001211,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001060,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000714,CARGOR,Carabus goryi
NEON.BET.D01.001416,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000733,PTETRI3,Pterostichus tristis
NEON.BET.D01.000705,CARGOR,Carabus goryi
NEON.BET.D01.001018,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000738,PTETRI3,Pterostichus tristis
NEON.BET.D01.001263,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000776,PTETRI3,Pterostichus tristis
NEON.BET.D01.000703,CARGOR,Carabus goryi
NEON.BET.D01.000704,CARGOR,Carabus goryi
NEON.BET.D01.001127,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001420,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000979,PTETRI3,Pterostichus tristis
NEON.BET.D01.000600,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001303,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000980,PTEADO,Pterostichus adoxus
NEON.BET.D01.000848,PTETRI3,Pterostichus tristis
NEON.BET.D01.000909,PTEROS,Pterostichus rostratus
NEON.BET.D01.000951,PTETRI3,Pterostichus tristis
NEON.BET.D01.001485,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001460,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001312,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001461,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001209,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001253,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001406,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001007,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001502,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000975,PTETRI3,Pterostichus tristis
NEON.BET.D01.001508,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001289,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000695,CARGOR,Carabus goryi
NEON.BET.D01.001491,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001086,PTECOR1,Pterostichus coracinus
NEON.BET.D01.001300,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001486,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001278,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001430,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001493,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000713,CARGOR,Carabus goryi
NEON.BET.D01.001412,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000696,CARGOR,Carabus goryi
NEON.BET.D01.001315,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000974,PTETRI3,Pterostichus tristis
NEON.BET.D01.000590,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000907,PTETRI3,Pterostichus tristis
NEON.BET.D01.000958,PTETRI3,Pterostichus tristis
NEON.BET.D01.001490,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001442,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001466,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001500,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001578,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000478,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000504,CARSER,Carabus serratus
NEON.BET.D01.000960,PTETRI3,Pterostichus tristis
NEON.BET.D01.000744,PTETRI3,Pterostichus tristis
NEON.BET.D01.000959,PTEROS,Pterostichus rostratus
NEON.BET.D01.000506,CARSER,Carabus serratus
NEON.BET.D01.000720,PTETRI3,Pterostichus tristis
NEON.BET.D01.001580,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000701,CARGOR,Carabus goryi
NEON.BET.D01.000702,CARGOR,Carabus goryi
NEON.BET.D01.001530,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000694,CARGOR,Carabus goryi
NEON.BET.D01.000872,PTETRI3,Pterostichus tristis
NEON.BET.D01.000982,PTETRI3,Pterostichus tristis
NEON.BET.D01.001336,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000874,PTETRI3,Pterostichus tristis
NEON.BET.D01.001414,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001307,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001064,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001041,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000804,PTETRI3,Pterostichus tristis
NEON.BET.D01.000933,PTETRI3,Pterostichus tristis
NEON.BET.D01.001147,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000792,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001512,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001161,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001334,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000715,PTETRI3,Pterostichus tristis
NEON.BET.D01.001297,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001237,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001114,PTECOR1,Pterostichus coracinus
NEON.BET.D01.001216,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001579,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001276,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000757,PTETRI3,Pterostichus tristis
NEON.BET.D01.001083,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001006,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001480,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001153,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001457,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001386,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000946,PTETRI3,Pterostichus tristis
NEON.BET.D01.001261,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001570,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001450,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001292,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000762,PTETRI3,Pterostichus tristis
NEON.BET.D01.001000,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000707,CARGOR,Carabus goryi
NEON.BET.D01.000676,CARGOR,Carabus goryi
NEON.BET.D01.000699,CARGOR,Carabus goryi
NEON.BET.D01.001489,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001132,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000976,PTEROS,Pterostichus rostratus
NEON.BET.D01.001387,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000596,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000627,CARGOR,Carabus goryi
NEON.BET.D01.000901,PTETRI3,Pterostichus tristis
NEON.BET.D01.000594,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001233,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001423,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001291,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001432,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001424,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001158,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001433,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000773,PTETRI3,Pterostichus tristis
NEON.BET.D01.001413,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001182,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000595,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001071,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000813,PTETRI3,Pterostichus tristis
NEON.BET.D01.001268,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000753,PTETRI3,Pterostichus tristis
NEON.BET.D01.000888,PTETRI3,Pterostichus tristis
NEON.BET.D01.001429,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000748,PTETRI3,Pterostichus tristis
NEON.BET.D01.001454,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001058,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001075,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000747,PTETRI3,Pterostichus tristis
NEON.BET.D01.001247,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001577,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001288,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000915,PTETRI3,Pterostichus tristis
NEON.BET.D01.001172,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001217,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001070,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000986,PTETRI3,Pterostichus tristis
NEON.BET.D01.001403,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001364,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000883,PTETRI3,Pterostichus tristis
NEON.BET.D01.000700,CARGOR,Carabus goryi
NEON.BET.D01.001474,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000878,PTETRI3,Pterostichus tristis
NEON.BET.D01.001600,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001258,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001601,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001193,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000846,PTETRI3,Pterostichus tristis
NEON.BET.D01.001604,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000879,PTEROS,Pterostichus rostratus
NEON.BET.D01.001107,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001124,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000730,PTEADO,Pterostichus adoxus
NEON.BET.D01.001043,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000626,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001163,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001097,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001048,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001130,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001140,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001085,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001084,SYNIMP,Synuchus impunctatus
NEON.BET.D01.000624,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001603,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001030,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001221,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001207,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001599,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001606,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001137,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001602,PTETRI3,Pterostichus tristis
NEON.BET.D01.001173,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001608,SYNIMP,Synuchus impunctatus
NEON.BET.D01.001266,SYNIMP,Synuchus impunctatus
