scientificName,taxonID,Food,HARV,TALL,BART,JERC,total
Polyderis laeva,POLLAE,Predator,0,3,0,0,3
Pterostichus ophryoderus,PTEOPH,Predator,0,5,0,0,5
Pterostichus sp.,PTESP23,NA,0,1,14,0,15
Scaphinotus unicolor,SCAUNI1,NA,0,4,0,0,4
Selenophorus ellipticus,SELELL,NA,0,4,0,24,28
Selenophorus granarius,SELGRA,NA,0,1,0,19,20
Selenophorus opalinus,SELOPA,Predator,0,23,0,10,33
Selenophorus sp.,SELSP2,NA,0,6,0,0,6
Sphaeroderus stenostomus lecontei,SPHSTE1,Predator,0,1,0,0,1
Tetragonoderus intersectus,TETINT,NA,0,9,0,5,14
Anisodactylus haplomus,ANIHAP,NA,0,27,0,7,34
Anisodactylus merula,ANIMER2,Omnivore,0,16,0,43,59
Pasimachus depressus,PASDEP,Predator,0,25,0,0,25
Pasimachus punctulatus,PASPUN,Predator,0,18,0,0,18
Calathus gregarius,CALGRE,NA,0,0,20,0,20
Calathus ingratus,CALING,NA,0,0,82,0,82
Carabidae spp.,OTHE,NA,0,0,1,0,1
Pterostichus adstrictus,PTEADS,NA,0,0,18,0,18
Pterostichus lachrymosus,PTELAC2,NA,0,0,646,0,646
Scarites vicinus,SCAVIC,NA,0,0,1,0,1
Scaphinotus viduus,SCAVID,NA,0,0,6,0,6
Agonum striatopunctatum,AGOSTR,NA,0,0,0,1,1
Amara aenea,AMAAEN1,NA,0,0,0,1,1
Amara impuncticollis,AMAIMP,NA,0,0,0,6,6
Anisodactylus dulcicollis,ANIDUL,NA,0,0,0,1,1
Anisodactylus furvus,ANIFUR,NA,0,0,0,1,1
Calathus opaculus,CALOPA,NA,0,0,0,2,2
Cicindela abdominalis,CICABD,NA,0,0,0,1,1
Cyclotrachelus faber,CYCFAB,NA,0,0,0,1,1
Cyclotrachelus laevipennis,CYCLAE,NA,0,0,0,31,31
Cyclotrachelus ovulum,CYCOVU,NA,0,0,0,31,31
Cyclotrachelus sigillatus,CYCSIG,NA,0,0,0,40,40
Cyclotrachelus sp.,CYCSP3,NA,0,0,0,4,4
Dyschirius abbreviatus,DYSABB,NA,0,0,0,1,1
Galerita bicolor,GALBIC,NA,0,0,0,9,9
Galerita janus,GALJAN,NA,0,0,0,1,1
Harpalus caliginosus,HARCAL,NA,0,0,0,1,1
Harpalus compar,HARCOM,NA,0,0,0,1,1
Harpalus katiae,HARKAT,NA,0,0,0,7,7
Harpalus sp.,HARSP7,NA,0,0,0,3,3
Lebia pulchella,LEBPUL,NA,0,0,0,3,3
Lebia viridis,LEBVIR2,NA,0,0,0,1,1
Paraclivina sp.,PARSP,NA,0,0,0,1,1
Pasimachus sublaevis,PASSUB1,NA,0,0,0,11,11
Pasimachus subsulcatus,PASSUB2,NA,0,0,0,96,96
Selenophorus discopunctatus,SELDIS2,NA,0,0,0,1,1
Selenophorus fatuus,SELFAT,NA,0,0,0,1,1
Selenophorus fossulatus,SELFOS,NA,0,0,0,1,1
Selenophorus palliatus,SELPAL,NA,0,0,0,1,1
Selenophorus (Celiamorphus) sp.,SELSP,NA,0,0,0,4,4
Semiardistomis puncticollis,SEMPUN,NA,0,0,0,2,2
Tetracha carolina,TETCAR2,Predator,0,0,0,11,11
Tetracha floridana,TETFLO,NA,0,0,0,2,2
Trichotichnus dichrous,TRIDIC,NA,0,0,0,1,1
